Date,Task,Duration (min),Notes,Activity Type
"Friday, October 6, 2023",Troubleshoot backend server,60,Figured out the issue with the failed post request. Proper header type needed to be sent with the post request (Content-Type : application/json and Content-Length).,Testing & Debugging
"Monday, October 9, 2023",Database,90,Looked up information pertaining to composite primary key. Revised so existing tables will use only primary key. (Update done via pgAdmin 4). Added 3rd (vflashcard) via SQL command line.,Coding
"Monday, October 9, 2023",Work on app’s backend,120,Worked on routes for signup. Researched ways to throw error in JS so that specific errors can be thrown. Looked up SQL commands to delete row data. Coded then tested POST via POSTMAN. Also spent time in SQL shell to gain exposure to SQL queries.,Coding
"Tuesday, October 10, 2023",Go over project board,30,Went over items on Github Project. Reviewed and updated tasks with notes. Created new ones.,Other
"Tuesday, October 10, 2023",Continue working on app’s backend,150,Researched ways to log req.body to the screen. (Requires the use of JSON.stringify). Created login route. Tested SQL commands to query multiple column data from a table.,Coding
"Friday, October 13, 2023",Read blog on bcrypt,90,Went over a posting regarding bcrypt. Experimented with the sample code.,Research/training/learning
"Saturday, October 14, 2023",Follow up on bcrypt,180,"Went over another posting on bcrypt, which has a longer explanation than the previous. Experimented with the examples.",Research/training/learning
"Sunday, October 15, 2023",Implement bcrypt on signup + login routes,150,"Implemented bcrypt on signup and login routes. Attempted to clear rows from vfc_user previously used to test the signup route. Had to cascade because due to foreign key references. Also, experienced issue when attempting to use the data returned from SQL query. Took awhile to figure out a way to get the hash so that it can be compared against the password. Added the codes/examples used to learn about bcrypt. (See Notes.)",Coding
"Tuesday, October 17, 2023",SQL query tutorial,120,"Went over tutorial on SQL query on join, alter tables, adding columns. Experimented with query on the PostGreSQL server. Made revisions to the vflashcard_set table. Documented the queries used. Generated new ERD from the revision. Updated the naming convention for existing ERD to maintain consistency.",Research/training/learning
"Wednesday, October 18, 2023",Review JSON Web Token tutorial,60,Went through a tutorial via Digital Ocean. Experimented with the code.,Research/training/learning
"Thursday, October 19, 2023",Implement function to generate JsonWebToken and middleware for authentication,180,"1. Created token secret and saved under .env.
2. Created tokenGenerator.js. Error with expiresIn but did not make headway while troubleshooting: Error: invalid expiresIn option for string payload
3. Added middleware ? auth.js
4. Revised login route. ",Coding
"Friday, October 20, 2023",Learn about backend / Express,90,CTP lecture,Research/training/learning
"Saturday, October 21, 2023",Troubleshoot tokenGenerator.js,90,"Debugged the error: Error: invalid expiresIn option for string payload.
Also, revised signup/login routes. Input email is converted to lowercase to remove issue case sensitivity and avoid duplicate email.",Testing & Debugging
"Sunday, October 22, 2023",Follow up on Express documentation,180,Followed up on the guide from lecture to develop more in-depth knowledge. Experimented with the code.,Research/training/learning
"Sunday, October 22, 2023","Create other routes, troubleshoot auth.js",120,Began creating other routes necessary for vfc user. Troubleshoot auth.js but did not make any progress. Shorten vflashcard_set table to vfc_set for convenience purpose.,Coding
"Monday, October 23, 2023",Touch base with supervisor,15,"Followed up regarding the team status, which is now 1. Also followed up with question pertaining to JSON Web Token and Git.","Supervisor discussion, emails"
"Monday, October 23, 2023",Touch base with supervisor,0,Followed up with questions via Slack.,"Supervisor discussion, emails"
"Wednesday, October 25, 2023",Debug the route to verify JSON web token,180,Reviewed several tutorials. Experimented and debugged the code.,Testing & Debugging
"Thursday, October 26, 2023",Work on routes under personal profile,150,"Worked on routes for personal profile. (Get public/private flashcard sets, creating new flashcard set.) Had to troubleshoot SQL queries.",Coding
"Thursday, October 26, 2023",Replicate database for test purpose,30,Learned the commands to replicate the vflashcard database on the server made a duplicate database for test purpose.,Research/training/learning
"Sunday, October 29, 2023",Review Git Project,30,Reviewed project board. Updated tasks status and added new ones.,Other
"Sunday, October 29, 2023",Continue to work on profile routes,270,"Continue working on routes under user profile:
- Update vfc_set properties
- Delete a set
- Get card from a personal set
- Get card from a public set
Unable to resolve issues from all routes above during test.
Also, shorten vflashcard table to vfc for convenience.",Coding
"Monday, October 30, 2023",Debug delete card set route,45,"Resolved the delete card set route issue. The path missed the ‘/’ character:
Before: lib/:param
After: /lib/:param",Testing & Debugging
"Monday, October 30, 2023",Debug update card set route,120,"Debugged the code and completed testing. Also, added verifySetAccess.js to check the access type argument and to convert it to lower case before insert.",Testing & Debugging
"Monday, October 30, 2023","Work on profile routes:
- Delete card
- Create new card
- Debug get cards from private library",75,"Created and debugged routes for delete card, create new card, and also debugged get cards from private set route. The last one can be refined, but should suffice for the time being.",Coding
"Monday, October 30, 2023",Review and update project board,30,Updated tasks where appropriate.,Other
"Tuesday, October 31, 2023",Rename etc.sql to SQL_Query_Journal.sql,0,Gave a more descriptive and appropriate file name.,Other
"Tuesday, October 31, 2023","Work on profile routes:
1 – Get private cards
2 – Get public cards",60,"Added verification check (either user, set access type). Tested the routes. Also, added SQL query used during the test.",Coding
"Friday, November 3, 2023",Touch base with supervisor,15,Followed up about project status and evaluation.,"Supervisor discussion, emails"
"Friday, November 3, 2023",Review requirement and plan the presentation,60,Took notes from a previous email. Created a checklist.  Began brainstorming the presentation.,Other
"Friday, November 3, 2023",Select presentation template,60,"Looked through templates from PowerPoint, LibreOffice Impress, and Google Slides. Tried various templates to see whether they have a stylistic fit with the project. Settled with Google Slides and experimented with the templates.",Other
"Friday, November 3, 2023",Draft presentation,60,Wrote out all the possible pages. Will require 2-3 passes to finalize.,Other
"Saturday, November 4, 2023",Draft presentation (cont’d),120,Reorganized and edited the previous draft. Will review again later before creating the slides.,Other
"Saturday, November 4, 2023",Take and edit screenshots,30,"Downloaded MySQL Workbench to export old diagrams to PNG. Took and edited screenshots of several ERD, SQL Query journal, SQL Shell.",Other
"Saturday, November 4, 2023",Revise sitemap,0,Done via Google docs. Exported PNG file.,Other
"Saturday, November 4, 2023",Draft presentation (cont’d),60,Continued revising the draft for the presentation.,Other
"Saturday, November 4, 2023",Take and edit screenshots (cont’d),30,Took screenshots using Postman.,Other
"Saturday, November 4, 2023",Begin work on presentation,135,Began working on presentation slides (up to 7). Minor revision on the draft.,Other
"Saturday, November 4, 2023",Minor revision to the route for creating new cards,0,Minor revision on userProfile.js,Testing & Debugging
"Sunday, November 5, 2023",Continue work on presentation,390,Added additional screenshots. Created new slides. Made additional revision and retake screenshots as necessary.,Other
"Monday, November 6, 2023",Implement route – update existing card,30,Created the route to update an individual card. Testing completed.,Coding
"Tuesday, November 7, 2023",React review,120,"Reading up on documentation, learning and experimenting with code.",Research/training/learning
"Thursday, November 9, 2023",Touch base with supervisor,30,"Followed up my previous questions. Got recommendation on resources pertaining to JSONWebToken, pointers regarding Git and exposed API key and implications that it has on a multi user repo, implications of frontend vs backend verification/validation process.","Supervisor discussion, emails"
"Saturday, November 11, 2023",React review,180,Reviewed concepts from MDN site,Research/training/learning
"Sunday, November 12, 2023",Began work on frontend,90,Continued reviewing React and planned the components on frontend.,Research/training/learning
"Sunday, November 12, 2023",Demo-2 prep,90,Preparation work for demo-2.,Other
"Sunday, November 12, 2023",Debug signup route,30,Noticed an issue with the sign up route during my demo-2 run through. Spent time correcting the issue with hashing.,Testing & Debugging
"Monday, November 13, 2023",Review and update project board,30,"Reviewed, updated, and created new tasks (including deliverables). Checked remaining tasks and defined new timeline.",Other
"Monday, November 13, 2023",Demo-2 prep,90,Continued prepping and revising the script for demo-2. Will need a few run-through to confirm the total time. Perform final review then upload.,Other
"Monday, November 13, 2023",Work on Demo-2 video,150,Used Zoom. Revised the scripts further. Practiced several times before the outtakes. Completed and uploaded the video.,Other
"Tuesday, November 14, 2023",Plan out frontend,60,"Drew up a checklist, including high level view, individual files",Research/training/learning
"Thursday, November 16, 2023",Initialize frontend,120,Initialize the react-app. Deleted unnecessary files. Began creating the skeleton/frame.,Coding
"Saturday, November 18, 2023",Add boostrap to index.html,0,For responsive websites.,Coding
"Tuesday, November 21, 2023",Build signup route,120,Began building signup route. Was able to pass information to the backend and create new user account.,Coding
"Wednesday, November 22, 2023",Office hour with supervisor,60,"Went over question regarding frontend (react-router-dom, authentication).","Supervisor discussion, emails"
"Wednesday, November 22, 2023",Frontend – home + login,120,"Began working on Home and Login on frontend. Also, deleted redundant SQL user data.",Coding
"Thursday, November 23, 2023",Read React-Router-Dom v6 doc,60,-,Research/training/learning
"Friday, November 24, 2023",Research authentication implementation on frontend,120,Looked over tutorials and react-router-dom v6 doc.,Research/training/learning
"Saturday, November 25, 2023",Review PM board + checklist,0,-,Other
"Saturday, November 25, 2023",Research authentication implementation on frontend (cont’d),90,Continued researching ways to implement to authentication.,Research/training/learning
"Saturday, November 25, 2023",Revise high level plan. Implement skeleton code for Profile.,30,"Profile.js will consists for title bar, nav pane, and body where the main functionality will be displayed.",Coding
"Sunday, November 26, 2023",Research React Router Dom v6,120,Reviewed tutorial for v6.,Research/training/learning
"Monday, November 27, 2023",Frontend – authentication,120,Code the helper function.,Coding
"Tuesday, November 28, 2023",Frontend – authentication debugging,60,Continued debugging the helper function.,Testing & Debugging
"Tuesday, November 28, 2023",Office hour with supervisor,45,Worked on frontend authentication and was able to set localstorage with the returned token. Protected route is not redirecting to the profile.,"Supervisor discussion, emails"
"Tuesday, November 28, 2023",Frontend – Login page and private route,90,Continued working on the protected route and login. Unable to get login to redirect to the profile page after submission.,Testing & Debugging
"Wednesday, November 29, 2023","Frontend – Login page, signup page, private route",120,"Continued debugging the code. Able to get the login, sign up page to redirect to the profile page after setting token with the local storage.",Testing & Debugging
"Wednesday, November 29, 2023",Debug signup route,30,"Issue with the signup route, which took zero length string as input but has been corrected.",Testing & Debugging
"Saturday, December 2, 2023",Revise design document,0,Done to reflect the team status.,Other
"Saturday, December 2, 2023",Code profile page,180,Worked on profile page. Added new pages.,Coding
"Saturday, December 2, 2023",Review React Router Dom v6,90,Read up on documentation,Research/training/learning
"Sunday, December 3, 2023",Follow up React Router Dom v6 doc,75,Reviewed documentation.,Research/training/learning
"Sunday, December 3, 2023",Frontend – Home/Landing Page route,45,Added navigation. Modified the route under App.js,Coding
"Sunday, December 3, 2023",Frontend – Profile,75,Reworked Profile. Modified route under App.js. Completed Logout page.,Coding
"Monday, December 4, 2023",Frontend – Debug fetch and relative path,30,Unable to use relative path with fetch. Added proxy to package.json to resolve.,Testing & Debugging
"Monday, December 4, 2023",Frontend – Private library,180,Began work on private lib route. Page is throwing errors but works with page refresh.,Coding
"Monday, December 4, 2023",Frontend – Public Library,30,Began work on public lib route. Similar issue with private library.,Coding
"Monday, December 4, 2023",Frontend – Debug private/public libraries,75,Continued debugging without success.,Testing & Debugging
"Tuesday, December 5, 2023",Office hour with supervisor,60,Worked on the issue pertaining to cardSet.map. Root cause was due to the async nature of setting local sessions. Added await to in Login and amended useAuth (useEffect is no longer used.),"Supervisor discussion, emails"
"Thursday, December 7, 2023",Frontend – Private card set,150,Build page to show cards from a single set.,Coding
"Thursday, December 7, 2023",Office hour with supervisor,30,"Received advice and recommendation to approach individual card display, including change state and toggle, also navigation.","Supervisor discussion, emails"
"Thursday, December 7, 2023","Frontend – Revise private & public library, private set",30,"For libraries, added condition to display empty library when empty. Also for private set, added condition to display empty set or existing title.",Coding
